,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
4264000,2015,9,23,3,UA,1067,N66841,SFO,LAX,955,951.0,-4.0,16.0,1007.0,94.0,83.0,54.0,337,1101.0,13.0,1129,1114.0,-15.0,0,0,,,,,,
4265000,2015,9,23,3,OO,6250,N594SW,FCA,DEN,1051,1051.0,0.0,13.0,1104.0,126.0,124.0,104.0,752,1248.0,7.0,1257,1255.0,-2.0,0,0,,,,,,
4266000,2015,9,23,3,MQ,3052,N822MQ,DFW,FSM,1154,1149.0,-5.0,23.0,1212.0,66.0,64.0,39.0,227,1251.0,2.0,1300,1253.0,-7.0,0,0,,,,,,
4267000,2015,9,23,3,DL,129,N961AT,LAX,SEA,1255,1254.0,-1.0,19.0,1313.0,164.0,157.0,131.0,954,1524.0,7.0,1539,1531.0,-8.0,0,0,,,,,,
4268000,2015,9,23,3,DL,1058,N556NW,ATL,MCO,1355,1354.0,-1.0,18.0,1412.0,96.0,87.0,63.0,404,1515.0,6.0,1531,1521.0,-10.0,0,0,,,,,,
4269000,2015,9,23,3,UA,244,N844UA,ORD,LGA,1500,1505.0,5.0,11.0,1516.0,135.0,122.0,105.0,733,1801.0,6.0,1815,1807.0,-8.0,0,0,,,,,,
4270000,2015,9,23,3,B6,1580,N187JB,FLL,DCA,1600,1618.0,18.0,15.0,1633.0,143.0,132.0,115.0,899,1828.0,2.0,1823,1830.0,7.0,0,0,,,,,,
4271000,2015,9,23,3,MQ,3249,N813MQ,LGA,RIC,1700,1817.0,77.0,25.0,1842.0,95.0,80.0,48.0,292,1930.0,7.0,1835,1937.0,62.0,0,0,,0.0,0.0,0.0,62.0,0.0
4272000,2015,9,23,3,UA,1064,N39728,EWR,CLE,1759,1757.0,-2.0,22.0,1819.0,106.0,87.0,61.0,404,1920.0,4.0,1945,1924.0,-21.0,0,0,,,,,,
4273000,2015,9,23,3,OO,5304,N963SW,ONT,SFO,1901,1855.0,-6.0,10.0,1905.0,85.0,74.0,60.0,363,2005.0,4.0,2026,2009.0,-17.0,0,0,,,,,,
4274000,2015,9,23,3,AA,475,N541UW,CLT,SFO,2005,2000.0,-5.0,20.0,2020.0,334.0,312.0,286.0,2296,2206.0,6.0,2239,2212.0,-27.0,0,0,,,,,,
4275000,2015,9,23,3,AA,1650,N473AA,DFW,ABQ,2155,2150.0,-5.0,21.0,2211.0,112.0,114.0,85.0,569,2236.0,8.0,2247,2244.0,-3.0,0,0,,,,,,
4276000,2015,9,24,4,DL,1311,N334NB,RDU,DTW,600,804.0,124.0,14.0,818.0,102.0,91.0,73.0,501,931.0,4.0,742,935.0,113.0,0,0,,0.0,0.0,113.0,0.0,0.0
4277000,2015,9,24,4,AA,96,N569AA,RIC,DFW,700,659.0,-1.0,17.0,716.0,207.0,185.0,157.0,1158,853.0,11.0,927,904.0,-23.0,0,0,,,,,,
4278000,2015,9,24,4,OO,4720,N641CA,SEA,LAS,749,746.0,-3.0,22.0,808.0,152.0,153.0,124.0,867,1012.0,7.0,1021,1019.0,-2.0,0,0,,,,,,
4279000,2015,9,24,4,DL,2558,N996AT,EWR,ATL,845,842.0,-3.0,27.0,909.0,146.0,139.0,103.0,746,1052.0,9.0,1111,1101.0,-10.0,0,0,,,,,,
4280000,2015,9,24,4,WN,3016,N941WN,STL,MDW,945,943.0,-2.0,11.0,954.0,65.0,54.0,41.0,251,1035.0,2.0,1050,1037.0,-13.0,0,0,,,,,,
4281000,2015,9,24,4,OO,5652,N120SY,SFO,PSP,1040,1040.0,0.0,13.0,1053.0,97.0,83.0,66.0,421,1159.0,4.0,1217,1203.0,-14.0,0,0,,,,,,
4282000,2015,9,24,4,WN,137,N212WN,DEN,PHX,1140,1137.0,-3.0,14.0,1151.0,110.0,103.0,86.0,602,1217.0,3.0,1230,1220.0,-10.0,0,0,,,,,,
4283000,2015,9,24,4,AA,1614,N3EGAA,EWR,MIA,1240,1234.0,-6.0,20.0,1254.0,182.0,189.0,161.0,1085,1535.0,8.0,1542,1543.0,1.0,0,0,,,,,,
4284000,2015,9,24,4,DL,1799,N591NW,MSP,DTW,1342,1338.0,-4.0,20.0,1358.0,96.0,107.0,78.0,528,1616.0,9.0,1618,1625.0,7.0,0,0,,,,,,
4285000,2015,9,24,4,EV,4169,N12921,IAH,BRO,1444,1439.0,-5.0,11.0,1450.0,75.0,62.0,48.0,308,1538.0,3.0,1559,1541.0,-18.0,0,0,,,,,,
4286000,2015,9,24,4,AA,1634,N424AA,DFW,DEN,1540,1538.0,-2.0,11.0,1549.0,126.0,108.0,92.0,641,1621.0,5.0,1646,1626.0,-20.0,0,0,,,,,,
4287000,2015,9,24,4,MQ,3325,N681MQ,ORD,TUL,1644,1643.0,-1.0,45.0,1728.0,127.0,131.0,82.0,585,1850.0,4.0,1851,1854.0,3.0,0,0,,,,,,
4288000,2015,9,24,4,EV,6052,N17138,ORD,MLI,1737,1740.0,3.0,30.0,1810.0,51.0,62.0,27.0,139,1837.0,5.0,1828,1842.0,14.0,0,0,,,,,,
4289000,2015,9,24,4,MQ,3577,N698MQ,MIA,CMH,1835,1825.0,-10.0,13.0,1838.0,166.0,142.0,126.0,990,2044.0,3.0,2121,2047.0,-34.0,0,0,,,,,,
4290000,2015,9,24,4,HA,357,N478HA,OGG,HNL,1936,1929.0,-7.0,7.0,1936.0,35.0,41.0,28.0,100,2004.0,6.0,2011,2010.0,-1.0,0,0,,,,,,
4291000,2015,9,24,4,UA,704,N588UA,SFO,JFK,2055,2054.0,-1.0,20.0,2114.0,330.0,322.0,293.0,2586,507.0,9.0,525,516.0,-9.0,0,0,,,,,,
4292000,2015,9,25,5,AA,2406,N867AA,LAX,DFW,15,20.0,5.0,23.0,43.0,176.0,175.0,149.0,1235,512.0,3.0,511,515.0,4.0,0,0,,,,,,
4293000,2015,9,25,5,AA,1339,N3GTAA,TPA,DFW,623,620.0,-3.0,10.0,630.0,167.0,149.0,126.0,929,736.0,13.0,810,749.0,-21.0,0,0,,,,,,
4294000,2015,9,25,5,AA,1961,N193UW,ORD,CLT,715,709.0,-6.0,16.0,725.0,136.0,134.0,102.0,599,1007.0,16.0,1031,1023.0,-8.0,0,0,,,,,,
4295000,2015,9,25,5,EV,5797,N17169,CLT,EWR,813,810.0,-3.0,22.0,832.0,107.0,113.0,76.0,529,948.0,15.0,1000,1003.0,3.0,0,0,,,,,,
4296000,2015,9,25,5,F9,1106,N948FR,SFO,IAH,905,902.0,-3.0,20.0,922.0,235.0,236.0,204.0,1635,1446.0,12.0,1500,1458.0,-2.0,0,0,,,,,,
4297000,2015,9,25,5,EV,3818,N31131,IND,ORD,1006,1006.0,0.0,16.0,1022.0,71.0,60.0,37.0,177,959.0,7.0,1017,1006.0,-11.0,0,0,,,,,,
4298000,2015,9,25,5,AS,679,N546AS,DEN,SEA,1105,1100.0,-5.0,10.0,1110.0,162.0,160.0,146.0,1024,1236.0,4.0,1247,1240.0,-7.0,0,0,,,,,,
4299000,2015,9,25,5,AA,193,N3HWAA,ORD,SFO,1205,1201.0,-4.0,15.0,1216.0,287.0,258.0,238.0,1846,1414.0,5.0,1452,1419.0,-33.0,0,0,,,,,,
4300000,2015,9,25,5,OO,5387,N952SW,SBA,LAX,1300,1559.0,179.0,39.0,1638.0,50.0,80.0,30.0,89,1708.0,11.0,1350,1719.0,209.0,0,0,,30.0,0.0,0.0,179.0,0.0
4301000,2015,9,25,5,EV,3824,N11544,GSO,ORD,1404,1356.0,-8.0,8.0,1404.0,120.0,110.0,93.0,589,1437.0,9.0,1504,1446.0,-18.0,0,0,,,,,,
4302000,2015,9,25,5,EV,5604,N841AS,ATL,CAE,1505,1458.0,-7.0,22.0,1520.0,58.0,58.0,32.0,192,1552.0,4.0,1603,1556.0,-7.0,0,0,,,,,,
4303000,2015,9,25,5,WN,493,N7812G,OAK,SEA,1605,1630.0,25.0,8.0,1638.0,120.0,101.0,87.0,672,1805.0,6.0,1805,1811.0,6.0,0,0,,,,,,
4304000,2015,9,25,5,F9,1291,N934FR,RDU,ORD,1705,1659.0,-6.0,8.0,1707.0,130.0,113.0,92.0,646,1739.0,13.0,1815,1752.0,-23.0,0,0,,,,,,
4305000,2015,9,25,5,VX,450,N528VA,AUS,DAL,1800,2002.0,122.0,10.0,2012.0,55.0,49.0,34.0,189,2046.0,5.0,1855,2051.0,116.0,0,0,,0.0,0.0,0.0,116.0,0.0
4306000,2015,9,25,5,AA,1163,N3BXAA,CLT,DFW,1905,1906.0,1.0,14.0,1920.0,173.0,168.0,122.0,936,2022.0,32.0,2058,2054.0,-4.0,0,0,,,,,,
4307000,2015,9,25,5,AA,2322,N3DVAA,DFW,PBI,2005,2033.0,28.0,28.0,2101.0,164.0,174.0,138.0,1102,19.0,8.0,2349,27.0,38.0,0,0,,10.0,0.0,24.0,4.0,0.0
4308000,2015,9,25,5,MQ,3506,N635MQ,ORD,BNA,2145,2314.0,89.0,23.0,2337.0,96.0,95.0,67.0,409,44.0,5.0,2321,49.0,88.0,0,0,,0.0,0.0,12.0,76.0,0.0
4309000,2015,9,26,6,F9,582,N933FR,SLC,DEN,600,552.0,-8.0,11.0,603.0,89.0,84.0,60.0,391,703.0,13.0,729,716.0,-13.0,0,0,,,,,,
4310000,2015,9,26,6,NK,469,N630NK,FLL,DFW,705,702.0,-3.0,11.0,713.0,182.0,171.0,148.0,1119,841.0,12.0,907,853.0,-14.0,0,0,,,,,,
4311000,2015,9,26,6,WN,4132,N7720F,TPA,HOU,815,810.0,-5.0,8.0,818.0,135.0,118.0,107.0,781,905.0,3.0,930,908.0,-22.0,0,0,,,,,,
4312000,2015,9,26,6,OO,6478,N918SW,XNA,DEN,917,913.0,-4.0,11.0,924.0,120.0,133.0,86.0,616,950.0,36.0,1017,1026.0,9.0,0,0,,,,,,
4313000,2015,9,26,6,AA,1673,N434AA,MSP,DFW,1028,1020.0,-8.0,15.0,1035.0,155.0,143.0,116.0,852,1231.0,12.0,1303,1243.0,-20.0,0,0,,,,,,
4314000,2015,9,26,6,DL,956,N919DL,BDL,ATL,1134,1126.0,-8.0,12.0,1138.0,153.0,144.0,123.0,859,1341.0,9.0,1407,1350.0,-17.0,0,0,,,,,,
4315000,2015,9,26,6,DL,835,N919AT,ATL,TYS,1243,1245.0,2.0,11.0,1256.0,53.0,43.0,28.0,152,1324.0,4.0,1336,1328.0,-8.0,0,0,,,,,,
4316000,2015,9,26,6,AA,1790,N660AW,FLL,PHL,1355,1346.0,-9.0,13.0,1359.0,169.0,162.0,134.0,992,1613.0,15.0,1644,1628.0,-16.0,0,0,,,,,,
4317000,2015,9,26,6,OO,2954,N889AS,FLG,PHX,1505,1511.0,6.0,11.0,1522.0,46.0,42.0,26.0,119,1548.0,5.0,1551,1553.0,2.0,0,0,,,,,,
4318000,2015,9,26,6,AA,342,N3BLAA,ORD,MIA,1630,1625.0,-5.0,8.0,1633.0,186.0,164.0,151.0,1197,2004.0,5.0,2036,2009.0,-27.0,0,0,,,,,,
4319000,2015,9,26,6,DL,2036,N307DQ,EYW,ATL,1746,1814.0,28.0,7.0,1821.0,121.0,108.0,88.0,646,1949.0,13.0,1947,2002.0,15.0,0,0,,0.0,0.0,0.0,0.0,15.0
4320000,2015,9,26,6,WN,4442,N8662F,LAS,SJC,1925,1922.0,-3.0,12.0,1934.0,80.0,76.0,58.0,386,2032.0,6.0,2045,2038.0,-7.0,0,0,,,,,,
4321000,2015,9,26,6,DL,2831,N815DN,ATL,MCI,2159,2159.0,0.0,20.0,2219.0,125.0,119.0,92.0,692,2251.0,7.0,2304,2258.0,-6.0,0,0,,,,,,
4322000,2015,9,27,7,OO,4813,N813SK,BIL,SLC,625,622.0,-3.0,16.0,638.0,84.0,85.0,62.0,387,740.0,7.0,749,747.0,-2.0,0,0,,,,,,
4323000,2015,9,27,7,OO,4993,N141SY,ORD,IND,730,727.0,-3.0,19.0,746.0,61.0,59.0,36.0,177,922.0,4.0,931,926.0,-5.0,0,0,,,,,,
4324000,2015,9,27,7,AA,1004,N4XVAA,AUS,DFW,839,930.0,51.0,9.0,939.0,72.0,59.0,40.0,190,1019.0,10.0,951,1029.0,38.0,0,0,,0.0,0.0,38.0,0.0,0.0
4325000,2015,9,27,7,DL,1059,N3772H,SLC,BOS,940,937.0,-3.0,15.0,952.0,276.0,273.0,246.0,2105,1558.0,12.0,1616,1610.0,-6.0,0,0,,,,,,
4326000,2015,9,27,7,OO,5357,N961SW,OTH,SFO,1038,1049.0,11.0,7.0,1056.0,89.0,82.0,71.0,412,1207.0,4.0,1207,1211.0,4.0,0,0,,,,,,
4327000,2015,9,27,7,EV,6053,N17115,ALB,ORD,1135,1122.0,-13.0,10.0,1132.0,144.0,130.0,108.0,723,1220.0,12.0,1259,1232.0,-27.0,0,0,,,,,,
4328000,2015,9,27,7,UA,1821,N17730,DEN,MSN,1236,1231.0,-5.0,10.0,1241.0,134.0,117.0,105.0,826,1526.0,2.0,1550,1528.0,-22.0,0,0,,,,,,
4329000,2015,9,27,7,UA,1028,N17719,SNA,ORD,1343,1340.0,-3.0,12.0,1352.0,245.0,252.0,210.0,1726,1922.0,30.0,1948,1952.0,4.0,0,0,,,,,,
4330000,2015,9,27,7,DL,2625,N321NB,MSP,IND,1443,1440.0,-3.0,15.0,1455.0,95.0,84.0,65.0,503,1700.0,4.0,1718,1704.0,-14.0,0,0,,,,,,
4331000,2015,9,27,7,WN,1256,N213WN,SAN,AUS,1540,1542.0,2.0,9.0,1551.0,165.0,162.0,149.0,1164,2020.0,4.0,2025,2024.0,-1.0,0,0,,,,,,
4332000,2015,9,27,7,WN,2701,N564WN,TPA,DEN,1645,1711.0,26.0,24.0,1735.0,240.0,218.0,187.0,1506,1842.0,7.0,1845,1849.0,4.0,0,0,,,,,,
4333000,2015,9,27,7,UA,1203,N19951,DEN,LAX,1740,1751.0,11.0,12.0,1803.0,143.0,136.0,115.0,862,1858.0,9.0,1903,1907.0,4.0,0,0,,,,,,
4334000,2015,9,27,7,AA,1612,N3GRAA,MIA,ORD,1840,1837.0,-3.0,16.0,1853.0,201.0,177.0,152.0,1197,2025.0,9.0,2101,2034.0,-27.0,0,0,,,,,,
4335000,2015,9,27,7,WN,2400,N7816B,LAS,BUR,1940,1940.0,0.0,8.0,1948.0,60.0,53.0,42.0,223,2030.0,3.0,2040,2033.0,-7.0,0,0,,,,,,
4336000,2015,9,27,7,WN,935,N791SW,LGA,MDW,2055,2050.0,-5.0,16.0,2106.0,150.0,130.0,105.0,725,2151.0,9.0,2225,2200.0,-25.0,0,0,,,,,,
4337000,2015,9,27,7,NK,371,N613NK,FLL,BQN,2349,2344.0,-5.0,10.0,2354.0,144.0,146.0,125.0,982,159.0,11.0,213,210.0,-3.0,0,0,,,,,,
4338000,2015,9,28,1,EV,2631,N676AE,TLH,DFW,619,618.0,-1.0,8.0,626.0,150.0,127.0,110.0,767,716.0,9.0,749,725.0,-24.0,0,0,,,,,,
4339000,2015,9,28,1,WN,1910,N8648A,PIT,LAS,710,706.0,-4.0,12.0,718.0,290.0,268.0,250.0,1910,828.0,6.0,900,834.0,-26.0,0,0,,,,,,
4340000,2015,9,28,1,UA,1798,N39463,ORD,SFO,810,854.0,44.0,14.0,908.0,290.0,266.0,246.0,1846,1114.0,6.0,1100,1120.0,20.0,0,0,,0.0,0.0,6.0,14.0,0.0
4341000,2015,9,28,1,AA,2296,N477AA,DFW,SAT,905,857.0,-8.0,16.0,913.0,73.0,65.0,45.0,247,958.0,4.0,1018,1002.0,-16.0,0,0,,,,,,
4342000,2015,9,28,1,AA,1887,N965UW,MSP,PHL,1005,958.0,-7.0,25.0,1023.0,158.0,156.0,127.0,980,1330.0,4.0,1343,1334.0,-9.0,0,0,,,,,,
4343000,2015,9,28,1,DL,2253,N694DL,DCA,ATL,1100,1058.0,-2.0,23.0,1121.0,110.0,116.0,85.0,547,1246.0,8.0,1250,1254.0,4.0,0,0,,,,,,
4344000,2015,9,28,1,WN,2298,N8608N,LAS,MDW,1200,1157.0,-3.0,12.0,1209.0,215.0,200.0,181.0,1521,1710.0,7.0,1735,1717.0,-18.0,0,0,,,,,,
4345000,2015,9,28,1,OO,7383,N953SW,CPR,SLC,1300,1457.0,117.0,13.0,1510.0,84.0,78.0,60.0,320,1610.0,5.0,1424,1615.0,111.0,0,0,,0.0,0.0,0.0,111.0,0.0
4346000,2015,9,28,1,UA,509,N458UA,ORD,LGA,1400,1434.0,34.0,15.0,1449.0,137.0,115.0,96.0,733,1725.0,4.0,1717,1729.0,12.0,0,0,,,,,,
4347000,2015,9,28,1,DL,1791,N942DL,ATL,CHS,1503,1503.0,0.0,15.0,1518.0,77.0,69.0,46.0,259,1604.0,8.0,1620,1612.0,-8.0,0,0,,,,,,
4348000,2015,9,28,1,EV,5317,N846AS,ABE,ATL,1600,1551.0,-9.0,14.0,1605.0,127.0,134.0,112.0,692,1757.0,8.0,1807,1805.0,-2.0,0,0,,,,,,
4349000,2015,9,28,1,OO,5326,N970SW,SFO,ONT,1703,1657.0,-6.0,21.0,1718.0,87.0,89.0,65.0,363,1823.0,3.0,1830,1826.0,-4.0,0,0,,,,,,
4350000,2015,9,28,1,OO,5341,N934SW,HYS,DEN,1758,1757.0,-1.0,12.0,1809.0,74.0,72.0,55.0,298,1804.0,5.0,1812,1809.0,-3.0,0,0,,,,,,
4351000,2015,9,28,1,WN,2209,N716SW,MDW,MCO,1900,1926.0,26.0,15.0,1941.0,150.0,155.0,133.0,990,2254.0,7.0,2230,2301.0,31.0,0,0,,5.0,0.0,26.0,0.0,0.0
4352000,2015,9,28,1,WN,2455,N778SW,STL,DCA,2000,2000.0,0.0,11.0,2011.0,115.0,104.0,89.0,719,2240.0,4.0,2255,2244.0,-11.0,0,0,,,,,,
4353000,2015,9,28,1,DL,1230,N370NW,SLC,PSC,2145,2138.0,-7.0,11.0,2149.0,101.0,85.0,70.0,521,2159.0,4.0,2226,2203.0,-23.0,0,0,,,,,,
4354000,2015,9,29,2,AS,631,N577AS,PHX,SEA,600,551.0,-9.0,12.0,603.0,175.0,179.0,157.0,1107,840.0,10.0,855,850.0,-5.0,0,0,,,,,,
4355000,2015,9,29,2,UA,1931,N30401,ALB,ORD,651,1246.0,355.0,9.0,1255.0,137.0,148.0,117.0,723,1352.0,22.0,808,1414.0,366.0,0,0,,11.0,0.0,355.0,0.0,0.0
4356000,2015,9,29,2,EV,3265,N13566,IAH,SAV,744,739.0,-5.0,11.0,750.0,136.0,123.0,108.0,851,1038.0,4.0,1100,1042.0,-18.0,0,0,,,,,,
4357000,2015,9,29,2,UA,1442,N14235,SFO,FLL,843,838.0,-5.0,14.0,852.0,347.0,330.0,309.0,2584,1701.0,7.0,1730,1708.0,-22.0,0,0,,,,,,
4358000,2015,9,29,2,AA,493,N756US,PHX,OAK,945,937.0,-8.0,22.0,959.0,118.0,128.0,98.0,646,1137.0,8.0,1143,1145.0,2.0,0,0,,,,,,
4359000,2015,9,29,2,OO,5528,N738SK,ORD,DTW,1040,1034.0,-6.0,39.0,1113.0,77.0,99.0,53.0,235,1306.0,7.0,1257,1313.0,16.0,0,0,,16.0,0.0,0.0,0.0,0.0
4360000,2015,9,29,2,EV,4215,N16178,ORF,ORD,1143,1132.0,-11.0,12.0,1144.0,136.0,132.0,112.0,717,1236.0,8.0,1259,1244.0,-15.0,0,0,,,,,,
4361000,2015,9,29,2,AA,626,N919US,BOS,CLT,1245,1250.0,5.0,22.0,1312.0,140.0,144.0,109.0,728,1501.0,13.0,1505,1514.0,9.0,0,0,,,,,,
4362000,2015,9,29,2,AA,1740,N197UW,MSP,CLT,1346,1346.0,0.0,11.0,1357.0,155.0,149.0,127.0,930,1704.0,11.0,1721,1715.0,-6.0,0,0,,,,,,
4363000,2015,9,29,2,WN,838,N740SW,ISP,BWI,1450,1451.0,1.0,12.0,1503.0,70.0,74.0,57.0,220,1600.0,5.0,1600,1605.0,5.0,0,0,,,,,,
4364000,2015,9,29,2,AA,1646,N3GDAA,DFW,TUL,1550,1553.0,3.0,15.0,1608.0,66.0,59.0,39.0,237,1647.0,5.0,1656,1652.0,-4.0,0,0,,,,,,
4365000,2015,9,29,2,WN,401,N209WN,MDW,OMA,1655,1654.0,-1.0,10.0,1704.0,80.0,78.0,64.0,423,1808.0,4.0,1815,1812.0,-3.0,0,0,,,,,,
4366000,2015,9,29,2,DL,630,N900PC,DTW,ATL,1750,1755.0,5.0,9.0,1804.0,120.0,128.0,107.0,594,1951.0,12.0,1950,2003.0,13.0,0,0,,,,,,
4367000,2015,9,29,2,UA,1640,N34455,EWR,TPA,1858,1853.0,-5.0,34.0,1927.0,182.0,172.0,133.0,997,2140.0,5.0,2200,2145.0,-15.0,0,0,,,,,,
4368000,2015,9,29,2,EV,4996,N848AS,DTW,ABE,2002,1953.0,-9.0,13.0,2006.0,89.0,79.0,63.0,425,2109.0,3.0,2131,2112.0,-19.0,0,0,,,,,,
4369000,2015,9,29,2,AA,2471,N3KNAA,LAX,MIA,2155,2150.0,-5.0,14.0,2204.0,296.0,286.0,267.0,2342,531.0,5.0,551,536.0,-15.0,0,0,,,,,,
4370000,2015,9,30,3,EV,4972,N195PQ,PHF,ATL,600,556.0,-4.0,16.0,612.0,110.0,111.0,84.0,508,736.0,11.0,750,747.0,-3.0,0,0,,,,,,
4371000,2015,9,30,3,B6,166,N516JB,RSW,BOS,700,652.0,-8.0,12.0,704.0,178.0,174.0,157.0,1249,941.0,5.0,958,946.0,-12.0,0,0,,,,,,
4372000,2015,9,30,3,AA,469,N547UW,CLT,ATL,755,753.0,-2.0,22.0,815.0,81.0,78.0,49.0,226,904.0,7.0,916,911.0,-5.0,0,0,,,,,,
4373000,2015,9,30,3,WN,1725,N646SW,HOU,ELP,850,848.0,-2.0,13.0,901.0,115.0,107.0,90.0,677,931.0,4.0,945,935.0,-10.0,0,0,,,,,,
4374000,2015,9,30,3,DL,842,N364NW,SLC,CVG,950,949.0,-1.0,32.0,1021.0,202.0,210.0,174.0,1450,1515.0,4.0,1512,1519.0,7.0,0,0,,,,,,
4375000,2015,9,30,3,UA,1260,N64809,SFO,MCO,1048,1152.0,64.0,17.0,1209.0,326.0,292.0,268.0,2446,1937.0,7.0,1914,1944.0,30.0,0,0,,30.0,0.0,0.0,0.0,0.0
4376000,2015,9,30,3,DL,2170,N3734B,LAX,SLC,1145,1201.0,16.0,22.0,1223.0,109.0,110.0,78.0,590,1441.0,10.0,1434,1451.0,17.0,0,0,,1.0,0.0,4.0,12.0,0.0
4377000,2015,9,30,3,WN,292,N754SW,SJC,SAN,1245,1243.0,-2.0,9.0,1252.0,80.0,80.0,64.0,417,1356.0,7.0,1405,1403.0,-2.0,0,0,,,,,,
4378000,2015,9,30,3,AA,1386,N528AA,DFW,AUS,1350,1348.0,-2.0,15.0,1403.0,62.0,59.0,38.0,190,1441.0,6.0,1452,1447.0,-5.0,0,0,,,,,,
4379000,2015,9,30,3,EV,4133,N13133,EWR,PVD,1450,1447.0,-3.0,15.0,1502.0,61.0,58.0,37.0,160,1539.0,6.0,1551,1545.0,-6.0,0,0,,,,,,
4380000,2015,9,30,3,AA,1646,N3CBAA,DFW,TUL,1550,1549.0,-1.0,22.0,1611.0,66.0,66.0,39.0,237,1650.0,5.0,1656,1655.0,-1.0,0,0,,,,,,
4381000,2015,9,30,3,AA,456,N658AW,PHX,SLC,1655,1653.0,-2.0,10.0,1703.0,95.0,83.0,69.0,507,1912.0,4.0,1930,1916.0,-14.0,0,0,,,,,,
4382000,2015,9,30,3,UA,238,N484UA,IAH,SFO,1748,1810.0,22.0,18.0,1828.0,243.0,233.0,209.0,1635,1957.0,6.0,1951,2003.0,12.0,0,0,,,,,,
4383000,2015,9,30,3,AA,596,N678AW,PHX,MCI,1850,1905.0,15.0,19.0,1924.0,155.0,150.0,128.0,1044,2332.0,3.0,2325,2335.0,10.0,0,0,,,,,,
4384000,2015,9,30,3,AA,2385,N502AA,SAT,DFW,1951,1944.0,-7.0,7.0,1951.0,84.0,58.0,41.0,247,2032.0,10.0,2115,2042.0,-33.0,0,0,,,,,,
4385000,2015,9,30,3,F9,902,N954FR,ATL,TTN,2122,2117.0,-5.0,17.0,2134.0,123.0,131.0,91.0,701,2305.0,23.0,2325,2328.0,3.0,0,0,,,,,,
4386000,2015,10,1,4,WN,951,N8651A,13931,10821,545,543.0,-2.0,10.0,553.0,75.0,52.0,36.0,159,629.0,6.0,700,635.0,-25.0,0,0,,,,,,
4387000,2015,10,1,4,WN,3222,N8663A,12889,10821,640,637.0,-3.0,10.0,647.0,275.0,269.0,251.0,2106,1358.0,8.0,1415,1406.0,-9.0,0,0,,,,,,
4388000,2015,10,1,4,AA,885,N127UW,13495,11057,730,735.0,5.0,9.0,744.0,118.0,107.0,86.0,651,1010.0,12.0,1028,1022.0,-6.0,0,0,,,,,,
4389000,2015,10,1,4,AA,1577,N3JYAA,12266,11057,830,824.0,-6.0,12.0,836.0,146.0,134.0,115.0,912,1131.0,7.0,1156,1138.0,-18.0,0,0,,,,,,
4390000,2015,10,1,4,AA,1266,N3FFAA,13303,14492,925,923.0,-2.0,16.0,939.0,129.0,114.0,94.0,700,1113.0,4.0,1134,1117.0,-17.0,0,0,,,,,,
4391000,2015,10,1,4,UA,1741,N33714,12953,12266,1021,1027.0,6.0,51.0,1118.0,249.0,252.0,194.0,1416,1332.0,7.0,1330,1339.0,9.0,0,0,,,,,,
4392000,2015,10,1,4,DL,1650,N330NW,14869,14771,1121,1150.0,29.0,30.0,1220.0,124.0,132.0,98.0,599,1258.0,4.0,1225,1302.0,37.0,0,0,,37.0,0.0,0.0,0.0,0.0
4393000,2015,10,1,4,DL,2564,N990DL,10397,14027,1220,1220.0,0.0,18.0,1238.0,109.0,113.0,91.0,545,1409.0,4.0,1409,1413.0,4.0,0,0,,,,,,
4394000,2015,10,1,4,WN,2726,N712SW,10397,12191,1325,1333.0,8.0,8.0,1341.0,135.0,111.0,98.0,696,1419.0,5.0,1440,1424.0,-16.0,0,0,,,,,,
4395000,2015,10,1,4,OO,4477,N805SK,11298,13487,1421,1415.0,-6.0,17.0,1432.0,149.0,150.0,128.0,852,1640.0,5.0,1650,1645.0,-5.0,0,0,,,,,,
4396000,2015,10,1,4,WN,1408,N428WN,13232,14747,1520,1527.0,7.0,12.0,1539.0,270.0,265.0,244.0,1733,1743.0,9.0,1750,1752.0,2.0,0,0,,,,,,
4397000,2015,10,1,4,WN,281,N225WN,12889,10800,1625,1625.0,0.0,10.0,1635.0,65.0,58.0,46.0,223,1721.0,2.0,1730,1723.0,-7.0,0,0,,,,,,
4398000,2015,10,1,4,DL,866,N910DL,13487,13930,1723,1722.0,-1.0,12.0,1734.0,89.0,80.0,56.0,334,1830.0,12.0,1852,1842.0,-10.0,0,0,,,,,,
4399000,2015,10,1,4,EV,4752,N22909,11637,13930,1819,1826.0,7.0,11.0,1837.0,110.0,112.0,86.0,557,2003.0,15.0,2009,2018.0,9.0,0,0,,,,,,
4400000,2015,10,1,4,MQ,3410,N698MQ,15295,13930,1917,1912.0,-5.0,5.0,1917.0,71.0,77.0,53.0,213,1910.0,19.0,1928,1929.0,1.0,0,0,,,,,,
